sal_code,suburb,car_share_bays_count,libraries_count,mobility_parking_count,sports_facilities_count,total_facilities,facilities_score
13714,Surry Hills,140,1,29,5,175,49.20289855072464
11645,Glebe,46,1,69,7,123,58.285714285714285
13352,Redfern,71,0,29,5,105,34.27432712215321
11213,Darlinghurst,88,0,12,0,100,8.024844720496896
13297,Pyrmont,54,1,8,3,66,30.01656314699793
11442,Erskineville,38,0,22,4,64,25.902691511387165
12969,Newtown,43,1,17,1,62,20.5351966873706
14542,Zetland,41,1,14,5,61,39.957556935817806
14201,Waterloo,43,1,11,4,59,34.665631469979296
14024,Ultimo,38,1,9,2,50,24.018633540372672
10030,Alexandria,30,0,12,6,48,33.881987577639755
14424,Woolloomooloo,35,0,5,3,43,18.22463768115942
13730,Sydney,11,2,22,5,40,48.97412008281573
13268,Potts Point,33,1,2,1,37,17.646997929606627
10780,Camperdown,25,0,11,1,37,8.379917184265011
10906,Chippendale,30,0,4,0,34,2.7225672877846794
11215,Darlington,17,0,14,0,31,3.2432712215320914
13419,Rosebery,17,0,9,3,29,17.518633540372672
11398,Elizabeth Bay,23,0,6,0,29,2.5124223602484475
13126,Paddington,17,0,10,0,27,2.663561076604555
11884,Haymarket,14,1,10,0,25,12.44927536231884
12630,Millers Point,20,0,3,2,25,11.863354037267081
11549,Forest Lodge,16,0,5,0,21,1.8674948240165634
13459,Rushcutters Bay,13,0,4,2,19,11.508281573498966
11224,Dawes Point,5,0,6,0,11,1.2267080745341614
13856,The Rocks,4,0,4,1,9,5.865424430641822
10239,Beaconsfield,3,0,4,1,8,5.7939958592132506
10872,Centennial Park,2,0,3,1,6,5.577639751552796
11474,Eveleigh,5,0,1,0,6,0.5020703933747412
12722,Moore Park,2,0,0,3,5,15.142857142857142
10062,Annandale,0,0,3,2,5,10.434782608695652
10192,Barangaroo,1,0,0,1,2,5.071428571428571
10462,Bondi,1,0,0,0,1,0.07142857142857144
10003,Abbotsford,1,0,0,0,1,0.07142857142857144
13659,St Peters,0,0,1,0,1,0.14492753623188406
13011,North Parramatta,0,0,0,0,0,0.0
