suburb,sa4_area,crime_type,year,incident_count
Glebe,N/A,Homicide,2024-2025,0.0
Glebe,N/A,Homicide,2024-2025,0.0
Glebe,N/A,Homicide,2024-2025,0.0
Glebe,N/A,Homicide,2024-2025,0.041666666666666664
Glebe,N/A,Assault,2024-2025,7.541666666666667
Glebe,N/A,Assault,2024-2025,14.5
Glebe,N/A,Assault,2024-2025,0.875
Glebe,N/A,Sexual offences,2024-2025,2.5
Glebe,N/A,Sexual offences,2024-2025,2.3333333333333335
Glebe,N/A,Abduction and kidnapping,2024-2025,0.08333333333333333
Glebe,N/A,Robbery,2024-2025,0.5
Glebe,N/A,Robbery,2024-2025,0.0
Glebe,N/A,Robbery,2024-2025,0.25
Glebe,N/A,Blackmail and extortion,2024-2025,0.375
Glebe,N/A,Coercive Control,2024-2025,0.08333333333333333
Glebe,N/A,"Intimidation, stalking and harassment",2024-2025,12.916666666666666
Glebe,N/A,Other offences against the person,2024-2025,0.4583333333333333
Glebe,N/A,Theft,2024-2025,5.458333333333333
Glebe,N/A,Theft,2024-2025,0.9583333333333334
Glebe,N/A,Theft,2024-2025,3.3333333333333335
Glebe,N/A,Theft,2024-2025,4.5
Glebe,N/A,Theft,2024-2025,4.958333333333333
Glebe,N/A,Theft,2024-2025,24.333333333333332
Glebe,N/A,Theft,2024-2025,8.916666666666666
Glebe,N/A,Theft,2024-2025,1.9166666666666667
Glebe,N/A,Theft,2024-2025,0.0
Glebe,N/A,Theft,2024-2025,8.625
Glebe,N/A,Theft,2024-2025,12.166666666666666
Glebe,N/A,Arson,2024-2025,0.625
Glebe,N/A,Malicious damage to property,2024-2025,13.833333333333334
Glebe,N/A,Drug offences,2024-2025,0.4583333333333333
Glebe,N/A,Drug offences,2024-2025,0.75
Glebe,N/A,Drug offences,2024-2025,3.8333333333333335
Glebe,N/A,Drug offences,2024-2025,2.2083333333333335
Glebe,N/A,Drug offences,2024-2025,0.125
Glebe,N/A,Drug offences,2024-2025,1.3333333333333333
Glebe,N/A,Drug offences,2024-2025,0.16666666666666666
Glebe,N/A,Drug offences,2024-2025,0.08333333333333333
Glebe,N/A,Drug offences,2024-2025,0.08333333333333333
Glebe,N/A,Drug offences,2024-2025,0.08333333333333333
Glebe,N/A,Drug offences,2024-2025,0.0
Glebe,N/A,Drug offences,2024-2025,0.125
Glebe,N/A,Drug offences,2024-2025,0.0
Glebe,N/A,Drug offences,2024-2025,0.0
Glebe,N/A,Drug offences,2024-2025,0.0
Glebe,N/A,Drug offences,2024-2025,1.2083333333333333
