suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
Abbotsbury,0.0395,3,1,0,2,0,0,0,18,7,1
Abbotsford,0.0181,1,1,0,2,0,1,0,8,2,0
Acacia Gardens,0.0068,0,0,0,1,0,0,0,3,2,0
Agnes Banks,0.0065,0,0,0,0,1,0,0,3,0,2
Airds,0.018,0,0,0,6,0,0,0,8,1,0
Alexandria,0.2684,73,46,16,7,1,7,1,58,21,3
Alfords Point,0.0225,0,0,0,1,0,1,0,12,4,0
Allambie Heights,0.1036,22,9,2,7,0,3,1,29,17,5
Allawah,0.0194,1,3,0,2,0,0,0,7,3,0
Ambarvale,0.0361,0,0,1,4,1,0,0,18,5,0
Angus,0.0164,1,0,1,5,0,0,0,5,4,0
Annandale,0.1058,15,14,0,7,0,1,0,35,14,3
Annangrove,0.025,1,2,0,2,0,1,0,10,6,0
Arcadia,0.0032,0,0,0,2,0,0,0,1,0,0
Arncliffe,0.069,8,3,1,7,0,4,1,24,16,1
Arndell Park,0.014,2,0,0,1,0,0,0,5,4,1
Artarmon,0.0903,18,13,2,3,3,2,1,25,11,2
Ashbury,0.0271,2,0,0,4,0,0,0,11,6,1
Ashcroft,0.0148,0,0,0,2,0,0,0,8,1,0
Ashfield,0.2199,36,43,8,17,2,7,1,53,25,4
Asquith,0.025,3,0,2,4,0,1,0,8,6,0
Auburn,0.1707,12,20,1,15,2,2,3,59,37,2
Austral,0.0206,0,1,0,5,0,0,0,9,2,0
Avalon Beach,0.078,9,13,5,5,0,3,1,23,9,0
Badgerys Creek,0.0028,0,0,0,0,0,0,0,1,1,1
Balgowlah,0.0433,10,8,1,3,0,2,0,10,4,0
Balgowlah Heights,0.0191,3,0,0,2,0,1,0,8,1,1
Balmain,0.1214,16,10,2,7,1,2,1,46,16,0
Balmain East,0.0225,0,0,0,1,0,0,0,13,2,0
Bangor,0.0224,1,0,0,5,0,0,0,7,10,0
Banksia,0.0198,1,2,1,0,0,1,1,7,6,0
Banksmeadow,0.0191,4,0,0,2,0,0,1,7,2,1
Bankstown,0.2021,15,36,4,22,1,7,1,59,36,1
Bankstown Aerodrome,0.0359,2,1,1,2,0,0,0,15,8,2
Bar Point,0.0013,0,0,0,0,0,0,0,0,1,1
Barangaroo,0.0523,6,26,1,0,0,1,0,7,1,0
Barden Ridge,0.0135,0,0,0,2,0,0,0,6,3,1
Bardia,0.0312,0,1,0,2,0,0,0,16,4,1
Bardwell Park,0.0236,2,0,0,2,0,1,0,10,6,0
Bardwell Valley,0.0206,1,0,0,2,0,0,0,9,6,0
Bass Hill,0.0962,2,1,0,7,0,0,0,45,25,1
Baulkham Hills,0.1594,2,6,1,16,1,1,1,65,48,4
Bayview,0.0317,5,3,0,2,0,0,0,12,2,1
Beacon Hill,0.0353,3,0,0,1,0,0,0,17,7,0
Beaconsfield,0.0236,8,4,2,0,0,1,0,4,2,0
Beaumont Hills,0.057,1,1,0,9,0,1,0,24,15,0
Beecroft,0.0655,1,2,0,9,0,0,2,27,19,0
Belfield,0.0276,0,1,1,5,0,0,0,12,4,0
Bella Vista,0.1222,6,19,2,6,2,2,0,41,28,2
Bellevue Hill,0.0764,12,13,1,7,0,3,0,19,13,2
Belmore,0.0783,5,15,0,12,2,3,0,23,10,0
Belrose,0.1016,9,6,2,9,0,2,1,34,28,5
Berala,0.0397,1,1,0,5,0,0,0,16,13,0
Berkshire Park,0.0044,0,0,0,0,0,0,0,2,2,0
Berowra,0.023,2,3,0,3,0,2,1,6,7,0
Berowra Heights,0.0192,2,2,0,4,0,1,0,5,5,0
Berowra Waters,0.0112,1,2,0,2,0,0,0,3,2,0
Berrilee,0.0077,1,1,0,0,0,0,0,3,1,0
Beverley Park,0.0263,1,3,0,1,1,0,0,10,7,0
Beverly Hills,0.1213,3,27,0,6,0,2,1,39,25,2
Bexley,0.0995,4,6,1,19,1,1,0,37,19,1
Bexley North,0.034,1,2,1,2,0,1,1,15,5,1
Bickley Vale,0.0008,0,0,0,1,0,0,0,0,0,0
Bidwill,0.0441,0,0,0,4,0,0,0,22,10,0
Bilgola Beach,0.0027,1,0,0,0,0,0,0,1,0,0
Bilgola Plateau,0.0191,2,0,0,1,0,0,0,9,3,0
Birchgrove,0.0315,1,0,0,1,0,0,0,16,7,0
Birrong,0.0232,0,0,0,3,0,0,0,10,5,3
Blackett,0.0187,0,0,0,3,0,0,0,8,4,2
Blacktown,0.2676,15,18,1,14,0,5,2,105,74,4
Blackwall,0.0076,0,0,0,0,0,0,0,4,2,0
Blair Athol,0.0027,1,0,0,0,0,0,0,1,0,0
Blairmount,0.0173,0,0,0,4,0,0,0,9,0,0
Blakehurst,0.0608,3,5,0,6,0,2,1,25,10,0
Blaxlands Ridge,0.0038,0,0,0,0,0,0,0,2,1,0
Bligh Park,0.0085,0,0,0,4,0,0,0,3,1,0
Bondi,0.1243,43,41,4,1,0,5,1,10,5,0
Bondi Beach,0.1555,55,55,1,5,0,5,1,10,5,0
