X,Y,OBJECTID,Address,Street,Location,Suburb,SideOfStreet,NumberParkingSpaces,ParkingSpaceWidth,ParkingSpaceLength,ParkingSpaceAngle,SignText,URL,AuditDate
334200.399180522,6252305.46840194,1,36-64,George Street,between Cahill Walk and Lower Fort Street,Dawes Point,Westside,2,4.4,7.2,Parallel,,https://goo.gl/gaKZea,6/06/2017
332501.69796361,6247157.06612758,2,51,Ashmore Street,between Mitchell Road and cul de sac,Erskineville,Southside,1,3.2,6.6,Parallel,,https://goo.gl/i1undt,1/06/2017
331826.651204306,6246929.99751309,3,201,Rochford Street,between King Street and Knight Street,Erskineville,Westside,1,3.2,6,Parallel,,https://goo.gl/c5YuGC,2/06/2017
334032.828074125,6249414.19688202,4,Central Station Western Forecourt,Railway Colonnade Drive ,between Lee Street an Eddy Avenue,Haymarket,Eastside,2,2.5,5.4,90-degree,Managed by RailCorp,https://goo.gl/zpP2y7,30/06/2017
334039.741798049,6248101.29818714,5,261,Chalmers Street,between Turner Street and Phillip Street,Redfern,Eastside,1,3.4,5.6,60-degree,rear to kerb parking,https://goo.gl/FCHFUf,28/06/2017
336407.477700365,6248633.13828944,6,55,Moore Park Road,between Cook Road and Poate Road,Centennial Park,Southside,1,2.6,7.4,Parallel,,https://goo.gl/7JLHju,9/06/2017
333781.44453876,6249625.83723851,7,2,Quay Street,between Ultimo Road and Hay Street,Haymarket,Westside,1,3.2,7.1,Parallel,,https://goo.gl/e7bab6,6/06/2017
334005.192447908,6249568.34417685,8,11,Rawson Place,between George Street and Pitt Street,Haymarket,Northside,2,2.8,5.5,Parallel,,https://goo.gl/maps/s9yCBUyXEyp3dAGbA,6/06/2017
333923.479386457,6246412.66827236,9,17,Hansard Street,between Emmanuel Lane and Dunning Avenue,Zetland,Southside,1,3.4,5.8,60-degree,,https://goo.gl/Mx9HBZ,9/06/2017
332933.254466956,6247716.32199954,10,142,Henderson Road,between Mitchell Road and Alexander Street,Alexandria,Southside,1,2.7,6.6,Parallel,,https://goo.gl/YoPp69,2/06/2017
332843.020869157,6247704.94938418,11,164,Kingsclear Road,between Henderson Lane and Henderson Road,Alexandria,Westside,1,2.2,4,Parallel,,https://goo.gl/s3eoLu,2/06/2017
334138.949960202,6247735.25390516,12,,Lenton Parade,between Raglan Lane and Wellington Street,Waterloo,Southside,1,3.2,7.5,Parallel,,https://goo.gl/LqpVE5,9/06/2017
334110.924571851,6247667.44630058,13,43,Wellington Street,between Park Lane and Wellington Lane,Waterloo,Northside,1,3.2,5.4,Parallel,,https://goo.gl/z6g5TD,9/06/2017
334171.612309981,6247442.87621161,14,22-26 ,McEvoy Street,between Hunter Street and Elizabeth Street,Waterloo,Southside,3,3.2,7.8,Parallel,No parking 4pm to 6pm Monday to Friday,https://goo.gl/HU5gWL,9/06/2017
334209.508911093,6247435.73031809,15,22-26,McEvoy Street,between Hunter Street and Elizabeth Street,Waterloo,Southside,1,3.2,6.3,Parallel,,https://goo.gl/P3QJSM,9/06/2017
333727.275222026,6247379.88633599,16,251,Cope Street,between John Street and McEvoy Street,Waterloo,Eastside,1,3.2,7.8,Parallel,,https://goo.gl/cjbefq,9/06/2017
331788.768402815,6247525.58290486,17,,Angel Street,between Newman Lane and Newman Street,Erskineville,Westside,1,3.2,5.8,Parallel,,https://goo.gl/jLKurM,1/06/2017
332356.060960431,6247178.19730267,18,24,Ashmore Street,between Binning Street and Binning Lane,Erskineville,Southside,1,3.2,6.4,Parallel,,https://goo.gl/Yi1r7d,1/06/2017
332431.166462149,6247166.85111552,19,37,Ashmore Street,between Mitchell Road and cul de sac,Erskineville,Southside,1,3.2,5.4,Parallel,,https://goo.gl/3qxgSr,1/06/2017
332502.202521394,6247404.52242693,20,29,Swanson Street,between Elliott Avenue and Malcolm Street,Erskineville,Southside,1,3,7.8,Parallel,,https://goo.gl/Z53uj2,1/06/2017
332470.322039921,6247296.47302181,21,25,Elliott Avenue,between Binning Street and Swanson Street,Erskineville,Northside,3,3.2,7,Parallel,Mobility Parking Only,https://goo.gl/maps/86cz1MrQEFza1C4YA,3/8/2023
332153.042012308,6247463.74166719,22,89,Erskineville Road,between George Street and Morrissey Road,Erskineville,Southside,1,2.9,5.5,Parallel,"Mobility parking only, 830am to 6pm Monday to Friday and 830am to 1230pm Saturdays",https://goo.gl/ndXwhA,1/06/2017
331989.96869189,6247000.00584075,23,8A,Amy Street,between MacDonald Street and Knight Street,Erskineville,Eastside,1,3.2,7,Parallel,,https://goo.gl/QUAmHJ,2/06/2017
332057.206293325,6246990.46835225,24,8,Flora Street,between MacDonald Street and Coulson Street,Erskineville,Eastside,1,2.2,7.3,Parallel,,https://goo.gl/Bj8Nq1,2/06/2017
332425.691930455,6246766.53501578,25,Shop 14,Coulson Street,between Mitchell Road and Eve Street,Erskineville,Southside,1,3.5,6,60-degree,60 degree angle parking rear to kerb,https://goo.gl/hJC4mN,2/06/2017
