X,Y,OBJECTID,ID,FacilityName,Address,Suburb,Postcode,FacilityType,URL,Status,Owner,AFL,Athletics,Badminton,Basketball,CityPrograms,Cricket,Futsal,Hockey,IndoorGym,Netball,OutdoorGym,Pickleball,Pool,Rugby,SkatePark,Soccer,TableTennis,TennisCourts,Volleyball,GDB_GEOMATTR_DATA
331567.8357,6249040.0327,1,30,Lyons Road Park,Corner of Lyons Road and Lambert Street,Camperdown,2050,Park,https://www.cityofsydney.nsw.gov.au/parks/lyons-road-park,Current,City of Sydney,,,,,,,,,,,"Equipment includes pull-up and monkey bars, gymnastic rings and wheelchair accessible parallel bars with transfer station.",,,,,,,,,
334691.3989,6249640.1697,2,23,James Hilder Reserve,121-131 Campbell Street,Surry Hills,2010,Park,https://www.cityofsydney.nsw.gov.au/parks/james-hilder-reserve,Current,City of Sydney,,,,,,,,,,,Fitness station with upper and lower body equipment.,,,,,,,,,
331738.9721,6247422.2468,3,29,Lillian Fowler Reserve,27 Angel Street,Newtown,2042,Park,https://www.cityofsydney.nsw.gov.au/parks/lillian-fowler-reserve,Current,City of Sydney,,,,"2 x outdoor half-courts with hoops. 
Available for use (free of charge) by the public after school hours and on weekends.",,,,,,"2 x outdoor half-courts with hoops. 
Available for use (free of charge) by the public after school hours and on weekends.",,,,,,,,,,
333569.7427,6246243.046,4,4,Beaconsfield Park,54 Queen Street,Beaconsfield,2015,Tennis courts,https://www.cityofsydney.nsw.gov.au/parks/beaconsfield-park,Current,City of Sydney,,,,"1 x small half-court basketball area. 
Free to use, no bookings required.",,,,,,,,,,,,,,"2 x hard courts, lights and amenities. 
No Office or pro shop.",,
334597.4315,6246822.8181,5,25,Joynton Park,Victoria Park Parade,Zetland,2017,Park,https://www.cityofsydney.nsw.gov.au/parks/joynton-park,Current,City of Sydney,,,,,,,,,,,,,,,,,"1 x outdoor table. 
Free to use, no bookings required.",,,
334605.5211,6246643.9799,6,37,Nuffield Park,Ascot Avenue,Zetland,2017,Park,https://www.cityofsydney.nsw.gov.au/parks/nuffield-park,Current,City of Sydney,,,,"1 x outdoor court with rebound walls. 
Free to use, no bookings required.",,,,,,,,,,,,,,,,
332733.2005,6247234.9371,7,12,Erskineville Oval,Mitchell Road,Erskineville,2043,Sports field,https://www.cityofsydney.nsw.gov.au/sports-facilities/erskineville-oval,Current,City of Sydney,,"Athletics track. 
Long jump pit.",,,,Turf wicket and field.,,,,,,,,"1 x rugby league field. 
173m length x 139m width.",,,,,,
332606.2787,6247347.9007,8,20,Harry Noble Reserve,"Swanson Street, corner Fox Avenue",Erskineville,2043,Park,https://www.cityofsydney.nsw.gov.au/parks/harry-noble-reserve,Current,City of Sydney,,,,"Practice area with rings. 
Free to use.",,,,,,"Practice area with hoops. 
Free to use.",,,,,,,,,,
334629.3297,6248751.2043,9,11,Eddie Ward Park,"Marlborough Street, corner Devonshire Street",Surry Hills,2010,Park,https://www.cityofsydney.nsw.gov.au/parks/eddie-ward-park,Current,City of Sydney,,,,,,,,,,,,,,,"One-foot micro bowl with 3 small extensions. 
Suits every ability of bowl-style staking.",,"1 x outdoor table. 
Free to use, no bookings required.",,,
335325.2992,6248153.6047,10,35,Moore Park,9 Anzac Parade,Moore Park,2021,Park,https://www.centennialparklands.com.au/sports/parks/moore-park,Not managed by City of Sydney,Centennial Park & Moore Park Trust,Bat and Ball Field.,,,,,Multiple turf and synthetic wickets.,,,,,,,,Multiple fields.,,Multiple fields.,,,,
333396.212,6248606.7219,11,21,Hugo Street Reserve,Hugo Street,Redfern,2016,Park,https://www.cityofsydney.nsw.gov.au/parks/hugo-street-reserve,Current,City of Sydney,,,,"Outdoor basketball court.  
Free to use, available 9am to 9pm.",,,,,,,,,,,,,,,,
333907.7303,6248805.1253,12,44,Prince Alfred Park Tennis Centre,Chalmers Street,Surry Hills,2010,Tennis courts,https://www.cityofsydney.nsw.gov.au/sports-facility-booking-services/book-tennis-court,Current,City of Sydney,,,,,,,,,,,,,,,,,,"5 x plexicushion outdoor courts, lights and office.",,
332813.5506,6248987.4497,13,63,Victoria Park Pool,Paramatta Road,Broadway,2008,Pool,https://www.cityofsydney.nsw.gov.au/pools/victoria-park-pool,Current,City of Sydney,,,,,,,,,"Fitness centre. 
Personal training. 
Exercise physiology. 
Group exercise.",,,,"Outdoor heated 50m pool. 
Splash pool. 
Free play lanes. 
Pool hoist and aqua wheelchair available on-site. ",,,,,,,
336240.9731,6250457.193,14,52,Rushcutters Bay Park,Waratah Street,Rushcutters Bay,2011,Tennis courts,https://www.cityofsydney.nsw.gov.au/parks/rushcutters-bay-park,Current,City of Sydney,,,,,,"Cricket nets. 
Free to use, no booking required.",,,,,"Equipment located east of the drainage canal near the promenade, includes pull-up bars, push-up bars, vault bar, parallettes, balance beam, and benches.",,,,,,,"5 x grass tennis courts, lights, office and café",,
